Survived,Pclass,Age,Sex,Cabin,sex
0,3,-0.5924805998028931,male,115,1
1,1,0.6387890120425208,female,81,0
1,3,-0.2846631968415396,female,115,0
1,1,0.40792595982150565,female,55,0
0,3,0.40792595982150565,male,115,1
0,3,0.0,male,115,1
0,1,1.8700586238879346,male,130,1
0,3,-2.1315676146096605,male,115,1
1,3,-0.20770884610120124,female,115,0
1,2,-1.2081154057256,female,115,0
1,3,-1.9776589131289837,female,146,0
1,1,2.177876026849288,female,49,0
0,3,-0.7463893012835698,male,115,1
0,3,0.7157433627828591,male,115,1
0,3,-1.2081154057256,female,115,0
1,2,1.947012974628273,female,115,0
0,3,-2.1315676146096605,male,115,1
1,2,0.0,male,115,1
0,3,0.1001085568601522,female,115,0
1,3,0.0,female,115,0
0,2,0.40792595982150565,male,115,1
1,2,0.3309716090811673,male,111,1
1,3,-1.1311610549852615,female,115,0
1,1,-0.1307544953608629,male,13,1
0,3,-1.6698415101676303,female,115,0
1,3,0.6387890120425208,female,115,0
0,3,0.0,male,115,1
0,1,-0.8233436520239081,male,63,1
1,3,0.0,female,115,0
0,3,0.0,male,115,1
0,1,0.7926977135231975,male,115,1
1,1,0.0,female,41,0
1,3,0.0,female,115,0
0,2,2.793510832771995,male,115,1
0,1,-0.1307544953608629,male,115,1
0,1,0.9466064150038742,male,115,1
1,3,0.0,male,115,1
0,3,-0.6694349505432314,male,115,1
0,3,-0.9002980027642465,female,115,0
1,3,-1.2081154057256,female,115,0
0,3,0.7926977135231975,female,115,0
0,2,-0.20770884610120124,female,115,0
0,3,0.0,male,115,1
1,2,-2.054613263869322,female,115,0
1,3,-0.8233436520239081,female,115,0
0,3,0.0,male,115,1
0,3,0.0,male,115,1
1,3,0.0,female,115,0
0,3,0.0,male,115,1
0,3,-0.9002980027642465,female,115,0
0,3,-1.7467958609079686,male,115,1
0,3,-0.6694349505432314,male,115,1
1,1,1.4852868701862427,female,101,0
1,2,-0.05380014462052453,female,115,0
0,1,2.7165564820316566,male,23,1
1,1,0.0,male,71,1
1,2,-0.6694349505432314,female,115,0
0,3,-0.0922773199906937,male,115,1
1,2,-1.9007045623886454,female,115,0
0,3,-1.4389784579466152,male,115,1
0,3,-0.5924805998028931,male,115,1
1,1,0.6387890120425208,female,21,0
0,1,1.1774694672248893,male,80,1
0,3,-1.9776589131289837,male,115,1
0,1,0.0,male,115,1
1,3,0.0,male,115,1
1,2,-0.05380014462052453,female,143,0
0,3,-0.8233436520239081,male,115,1
1,3,-0.977252353504585,female,115,0
0,3,-0.2846631968415396,male,115,1
0,2,0.17706290760049057,male,115,1
0,3,-1.0542067042449232,female,115,0
0,2,-0.6694349505432314,male,115,1
0,3,-0.2846631968415396,male,115,1
1,3,0.17706290760049057,male,115,1
0,3,-0.361617547581878,male,141,1
0,3,0.0,male,115,1
0,3,0.0,male,115,1
1,2,-2.2216042049758564,male,115,1
1,3,0.02315420611981384,female,115,0
0,3,-0.5924805998028931,male,115,1
1,3,-0.05380014462052453,male,115,1
1,3,0.0,female,115,0
0,1,-0.1307544953608629,male,115,1
1,2,-0.977252353504585,female,115,0
1,3,0.25401725834082894,female,115,0
0,3,-1.0542067042449232,male,115,1
0,3,0.0,male,115,1
1,1,-0.5155262490625547,female,63,0
0,3,-0.4385718983222164,male,115,1
0,3,-0.05380014462052453,male,115,1
0,3,-0.7463893012835698,male,115,1
0,1,1.2544238179652276,male,123,1
0,3,-0.2846631968415396,male,115,1
0,3,2.2548303775896263,male,115,1
0,3,0.0,male,115,1
0,1,3.1782825864736868,male,12,1
1,1,-0.5155262490625547,male,91,1
1,2,0.3309716090811673,female,115,0
0,2,0.3309716090811673,male,115,1
0,3,-0.1307544953608629,female,115,0
0,3,0.0,male,115,1
0,1,-0.6694349505432314,male,98,1
0,3,0.25401725834082894,male,115,1
0,3,0.5618346613021824,male,115,1
0,3,-0.1307544953608629,male,115,1
1,3,-0.6694349505432314,female,115,0
1,3,0.0,male,115,1
0,3,0.6387890120425208,male,115,1
1,3,0.0,female,115,0
0,1,1.3313781687055661,male,52,1
0,3,-1.169638230355431,female,115,0
0,3,-0.5924805998028931,male,115,1
0,3,-0.7463893012835698,female,115,0
0,3,-0.977252353504585,female,115,0
0,3,-0.6694349505432314,male,115,1
0,3,3.139805411103518,male,115,1
0,2,-0.05380014462052453,male,115,1
0,1,-0.4385718983222164,male,36,1
0,3,-2.1315676146096605,female,115,0
0,2,-0.6694349505432314,male,115,1
0,3,0.0,male,115,1
0,2,0.21554008297065974,male,115,1
